Sample in Buffer,Sample in Window,TRIGGER,design_2_i/adc_bit_decoder_0_t_ready,design_2_i/ZmodScopeController_0_cDataAxisTvalid,design_2_i/delay_96_cycles_0_dout,design_2_i/adc_bit_decoder_0_bit_out,design_2_i/comparator_0_correct_bits[13:0],design_2_i/comparator_0_whole_bits[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
346,346,0,1,0,1,0,6618,16227
347,347,0,1,0,1,0,6618,16227
348,348,0,1,1,1,0,6618,16227
349,349,0,1,0,1,1,6618,16227
350,350,0,1,0,1,1,6619,16227
351,351,0,1,0,1,1,6619,16227
352,352,0,1,1,1,1,6619,16227
353,353,0,1,0,1,1,6619,16227
354,354,0,1,0,1,1,6619,16227
355,355,0,1,0,1,1,6619,16227
356,356,0,1,1,1,1,6619,16227
357,357,0,1,0,1,0,6619,16227
358,358,0,1,0,1,0,6619,16227
359,359,0,1,0,1,0,6619,16228
360,360,0,1,1,1,0,6619,16228
361,361,0,1,0,1,1,6619,16228
362,362,0,1,0,1,1,6619,16228
363,363,0,1,0,1,1,6619,16228
364,364,0,1,1,1,1,6619,16228
365,365,0,1,0,1,0,6619,16228
366,366,0,1,0,1,0,6619,16228
367,367,0,1,0,1,0,6619,16228
368,368,0,1,1,1,0,6619,16228
369,369,0,1,0,1,1,6619,16228
370,370,0,1,0,1,1,6620,16228
371,371,0,1,0,1,1,6620,16228
372,372,0,1,1,1,1,6620,16228
373,373,0,1,0,1,1,6620,16228
374,374,0,1,0,1,1,6620,16228
375,375,0,1,0,1,1,6620,16228
376,376,0,1,1,0,1,6620,16228
377,377,0,1,0,0,0,6620,16228
378,378,0,1,0,0,0,6620,16228
379,379,0,1,0,0,0,6620,16229
380,380,0,1,1,0,0,6620,16229
381,381,0,1,0,0,1,6620,16229
382,382,0,1,0,0,1,6620,16229
383,383,0,1,0,0,1,6620,16229
384,384,0,1,1,0,1,6620,16229
385,385,0,1,0,0,1,6620,16229
386,386,0,1,0,0,1,6620,16229
387,387,0,1,0,0,1,6620,16229
388,388,0,1,1,0,1,6620,16229
389,389,0,1,0,0,1,6620,16229
390,390,0,1,0,0,1,6620,16229
391,391,0,1,0,0,1,6620,16229
392,392,0,1,1,0,1,6620,16229
393,393,0,1,0,0,1,6620,16229
394,394,0,1,0,0,1,6620,16229
395,395,0,1,0,0,1,6620,16229
396,396,0,1,1,1,1,6620,16229
397,397,0,1,0,1,0,6620,16229
398,398,0,1,0,1,0,6620,16229
399,399,0,1,0,1,0,6620,16230
400,400,0,1,1,1,0,6620,16230
401,401,0,1,0,1,1,6620,16230
402,402,0,1,0,1,1,6620,16230
403,403,0,1,0,1,1,6620,16230
404,404,0,1,1,1,1,6620,16230
405,405,0,1,0,1,1,6620,16230
406,406,0,1,0,1,1,6620,16230
